phrase,meaning,example
hit different #2756,이전과 다르게 느껴지다,This song just hits different at night.
cap #2757,거짓말,He said he met Beyoncé. That’s cap.
low-key #2758,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2759,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2760,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2761,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2762,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2763,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2764,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2765,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2766,과시하다,He likes to flex his new watch.
no cap #2767,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #2768,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2769,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2770,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #2771,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2772,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2773,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2774,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2775,"아주 멋진, 완벽한",Her makeup is on fleek today.
ghost someone #2776,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2777,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #2778,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2779,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #2780,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #2781,과시하다,He likes to flex his new watch.
ghost someone #2782,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2783,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #2784,과시하다,He likes to flex his new watch.
throw shade #2785,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2786,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #2787,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2788,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #2789,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2790,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #2791,이전과 다르게 느껴지다,This song just hits different at night.
flex #2792,과시하다,He likes to flex his new watch.
high-key #2793,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2794,과시하다,He likes to flex his new watch.
low-key #2795,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #2796,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2797,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2798,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #2799,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
cap #2800,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2801,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2802,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #2803,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #2804,이전과 다르게 느껴지다,This song just hits different at night.
cap #2805,거짓말,He said he met Beyoncé. That’s cap.
hit different #2806,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2807,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2808,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2809,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #2810,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2811,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2812,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #2813,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2814,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2815,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #2816,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
low-key #2817,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
hit different #2818,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #2819,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #2820,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #2821,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #2822,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #2823,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #2824,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2825,이전과 다르게 느껴지다,This song just hits different at night.
high-key #2826,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2827,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2828,이전과 다르게 느껴지다,This song just hits different at night.
no cap #2829,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2830,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2831,과시하다,He likes to flex his new watch.
no cap #2832,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #2833,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #2834,과시하다,He likes to flex his new watch.
cap #2835,거짓말,He said he met Beyoncé. That’s cap.
low-key #2836,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #2837,과시하다,He likes to flex his new watch.
ghost someone #2838,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
spill the tea #2839,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #2840,거짓말,He said he met Beyoncé. That’s cap.
high-key #2841,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2842,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2843,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #2844,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2845,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2846,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2847,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
hit different #2848,이전과 다르게 느껴지다,This song just hits different at night.
cap #2849,거짓말,He said he met Beyoncé. That’s cap.
on fleek #2850,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #2851,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #2852,과시하다,He likes to flex his new watch.
flex #2853,과시하다,He likes to flex his new watch.
ghost someone #2854,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2855,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2856,이전과 다르게 느껴지다,This song just hits different at night.
ghost someone #2857,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
high-key #2858,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #2859,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2860,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2861,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2862,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #2863,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #2864,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2865,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2866,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
on fleek #2867,"아주 멋진, 완벽한",Her makeup is on fleek today.
hit different #2868,이전과 다르게 느껴지다,This song just hits different at night.
cap #2869,거짓말,He said he met Beyoncé. That’s cap.
on fleek #2870,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2871,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #2872,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #2873,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #2874,이전과 다르게 느껴지다,This song just hits different at night.
low-key #2875,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #2876,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #2877,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #2878,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #2879,이전과 다르게 느껴지다,This song just hits different at night.
hit different #2880,이전과 다르게 느껴지다,This song just hits different at night.
high-key #2881,"대놓고, 확실하게",I'm high-key excited for the trip.
flex #2882,과시하다,He likes to flex his new watch.
high-key #2883,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #2884,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
flex #2885,과시하다,He likes to flex his new watch.
on fleek #2886,"아주 멋진, 완벽한",Her makeup is on fleek today.
spill the tea #2887,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #2888,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
ghost someone #2889,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2890,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #2891,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #2892,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #2893,과시하다,He likes to flex his new watch.
throw shade #2894,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #2895,거짓말,He said he met Beyoncé. That’s cap.
cap #2896,거짓말,He said he met Beyoncé. That’s cap.
throw shade #2897,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #2898,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #2899,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #2900,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #2901,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
on fleek #2902,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #2903,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
